,Título,Preço
95,Nrf24l01 PA NA Wireless Arduino ( WIFI ) 2.4GHz Longo Alcance + Antena,35.06
96,Case para Arduino Uno com Parafusos em Acrílico Transparente,17.96
97,"Detector de Gás / Sensor de Gás MQ-135 - Amônia, Óxido Nítrico, Álcool, Benzeno, Dióxido de Carbono...",18.91
98,Sensor de Corrente ACS712 5A AC / DC com Efeito Hall,17.96
99,Teclado Matricial Membrana 4x4 16 Teclas,11.48
100,Bombinha de Vácuo e Ar 12V 2.5L/Min RK-370,85.41
101,Sensor Magnético NA de Sobrepor com Fios,10.88
102,Módulo GPS Arduino GY-NEO6MV2 + Antena,66.41
103,Caixa Patola PB-062/2 para Montagem 27 x 44 x 51 mm,4.89
104,Motor Shield Arduino L293D Driver Ponte H,31.26
105,Sensor Magnético NA de Embutir com Fios,13.21
106,Pulsador Push Button NA 16mm em Aço Inox com Borne a Parafuso - Impermeável,15.68
107,Módulo Relógio Tempo Real RTC - DS1302,9.88
108,Servo Motor MG995 Tower Pro 180° 11kgf.cm de Posição com Engrenagens Metálicas,69.73
109,Led Endereçável RGB 5050 WS2812,6.54
110,Fechadura Elétrica Solenóide 12V NF Compacta FEC-91 - Lingueta Inferior,43.61
111,Módulo Adaptador Micro USB Fêmea para DIP,3.71
112,Sensor de Efeito Hall US1881 / U18,4.28
113,Buzzer Passivo / Módulo Transdutor - BP18,6.60
114,Caixa Patola PB-075/2 para Montagem 24 x 60 x 75 mm,7.78
115,Mini Conversor RS232 para TTL MAX3232,6.18
116,Módulo Sensor de Luminosidade LDR para Arduino e ESP32,7.41
117,Roda 68 tipo Estrela para Chassi Robótico,9.45
118,Kit Controle Remoto Infravermelho + Receptor - KY-022,18.91
119,Mini SD Card Arduino / Mini Leitor Micro SD Card,7.51
120,"Mini Arruela M1,6 Metálica - Kit com 10 unidades",3.14
121,Micro Servo 9g Tower Pro MG90S 180° 2.2Kgf.cm de Posição com Engrenagens Metálicas,35.06
122,Sensor de Peso Célula de Carga 0 a 5kg para Arduino,29.36
123,Caixa Patola PB-048 para Montagem 19 x 40 x 54 mm,4.89
124,Sensor de Tensão DC 0-25V,7.51
125,Mini Bomba De Vácuo e Ar 6V SC3704PM 1.8L/Min,34.11
126,Módulo Sensor Magnético para Arduino,9.41
127,Sensor de Proximidade E18-D80NK Infravermelho NPN - Detecção 3 a 80cm,39.81
128,Conversor RS232 para TTL MAX3232 com DB9,10.88
129,Cabo Jumper 4 Pinos 70cm Fêmea/Fêmea para Impressora 3D,8.08
130,DHT22 Sensor de Umidade e Temperatura,47.41
131,Interruptor Liga/Desliga com Chave de Segurança - KS-01,16.06
132,Válvula Solenoide para Água 12V NF 180° (1/2 x 1/2),66.41
133,Sensor de Pressão e Temperatura BMP180,15.96
134,Mini Carro Solar com Motor e Painel Fotovoltaico - VB218,49.88
135,Módulo ESP8266 ESP12e WiFi Serial,27.46
136,Módulo Amplificador Operacional LM358 Ganho 100X,11.37
137,Módulo Bluetooth HC-08 4.0 BLE Arduino para iPhone e iPad - Master/Slave,43.80
138,QRE1113 Sensor de Linha Analógico IR,6.18
139,Sensor de Som KY-038 para Arduino,11.88
140,Módulo Dimmer para Arduino Pic MC-8A com sinal Zero Cross 220V,43.99
141,Caixa Patola / Case para Montagem 55 x 97 x 148 mm - PB-114,27.46
142,Lâmpada de Neon NE2 6x16mm,1.50
143,Display LCD 16x2 I2C com Fundo Azul,37.91
144,Válvula Solenoide para Água 127V NF 180° (1/2 x 1/2),66.41
145,Arduino Sensor Shield - Expansor de Entradas e Saídas V5.0,18.91
146,Chaveiro RFID 13.56MHz com Tag para Controle de Acesso,3.99
147,Sensor de Chuva Arduino FC37 + Módulo de Leitura,14.87
148,Sensor de Luminosidade Fotossensitivo LDR - P13,5.23
149,Caixa Patola BALOON para Montagem 17 x 50 x 27 mm,6.56
150,Caixa Patola PB-108 para Montagem 32 x 75 x 116 mm,15.11
151,Fechadura Elétrica Solenóide 12V NF FE-91 - Lingueta Reversível,104.03
152,Caixa Patola PB-080 para Montagem 29 x 42 x 82 mm,9.41
153,"Sensor de Pressão, Umidade e Temperatura BME280",84.46
154,Caixa Patola PB-082 para Montagem 27 x 43 x 94 mm,9.88
155,Sensor de Umidade e Temperatura SHT20 + Encapsulamento IP65,142.03
156,Sensor Indutivo 4mm (Distância Sensora 4mm) - LJ12A3  NPN NA,35.06
157,Módulo Relé 5V 10A 8 Canais com Optoacopladores,66.41
158,Driver Duplo Ponte H de Motor DC ou Passo - DRV8833,22.85
159,Display LCD 20x4 com Fundo Azul,66.41
160,Conector T 1/4 para Microtubo de Irrigação,2.51
161,Transdutor Buzzer Piezoelétrico 3 a 24VDC -SFM-27-B,12.83
162,Tomada Fêmea 3 Pinos 10A 250V - Margirius,12.26
163,LCD Keypad Shield Display 16x2 para Arduino,42.66
164,Válvula Solenoide para Água 12V NF 180° (3/4 x 3/4),61.66
165,Módulo Sensor de Efeito Hall para Arduino,7.49
166,Módulo Multiplexador 74HC4067 / HP4067 CMOS Analógico Digital 16 Canais,11.88
167,Módulo Bluetooth HC-06 Arduino - Slave,37.91
168,Suporte PAN TILT SG90 - Plataforma Móvel para Robótica,21.38
169,Sensor de Nível de Água em Aço Inoxidável para Água Quente,59.76
170,Mini Bomba de Água Submersa 2.5 a 6V JT100 1.5L/Min,26.84
171,Módulo Ethernet Mini ENC28J60,69.83
172,Case SZOMK para Montagem 145x90x40mm / Gabinete para Trilho Din + Bornes,78.76
173,Sensor de Luz BH1750-FVI / Sensor de Luminosidade Lux Digital - GY30,19.46
174,Estrutura para Esteira Arduino em MDF + Manual de Montagem,133.32
175,Driver Motor de Passo DRV8825 + Dissipador de Calor,24.61
176,Sensor de Fluxo de Água YF-S403 G3/4 1-60 l/min,88.68
177,Sensor de Tensão e Corrente INA219 De Alta Precisão,34.96
178,Módulo Adaptador USB Fêmea 2.0 para DIP,4.28
179,Conversor USB para RS232 e TTL - DL91,37.91
180,Módulo CAN BUS Arduino MCP2515 XL1050 OBDII,39.81
181,Leitor RFID RDM6300 125 KHz,36.01
182,Cabo RS232 USB Serial com CH340,25.56
183,Módulo Sensor de Inclinação / Sensor Tilt para Arduino,10.88
184,Estrutura em MDF para Braço Robótico Arduino + Manual de Montagem,57.67
185,Display LCD 20x4 I2C com Fundo Azul,79.71
186,Módulo CAN BUS Arduino SN65HVD230 VP230,15.68
187,Roda para Robótica 38mm Slim Compatível com Motores com Caixa de Redução e Servomotores,4.49
188,Módulo Display 7 Segmentos 4 Dígitos Vermelho,16.91
189,Braço Robótico Arduino Completo + Manual de Montagem,311.23
190,Módulo Carregador de Bateria Li-Ion TP4056 Mini USB 18650,4.66
191,Sensor de Umidade de Solo Capacitivo 5V para Arduino + Jumper,14.16
192,Pedal Elétrico / Interruptor de Pedal 127V/220V 10A NA/NF,45.13
193,Bombinha de Ar 5V MP130 1L/Min,34.96
194,Sensor de Pressão Diferencial 40KPa PSG010R,22.85
