,Título,Preço
386,Regulador de Tensão Step Down DC AMS1117 - Saída 3.3V / 5V / 12VDC,11.88
387,Módulo LED RGB 5050 - KY-009,6.41
388,Módulo Emissor Infravermelho + Receptor IR / Codificador Decodificador IR Serial para Arduino - YS-IRTM,36.81
389,Protoshield V5 / Prototype para Arduino + Protoboard 170 pontos,28.41
390,Filtro Snubber para Proteção de Relés,13.21
391,Sensor AHT10 de Alta Precisão para Medir Temperatura e Umidade,15.11
392,Servo Horn Disco Metálico 20mm 25T para Servo Motor,7.92
393,Esteira Arduino em MDF Completa para Projetos EA100 V2 + Manual de Montagem,371.36
394,Sensor de Luminosidade Fotossensitivo LDR com Leds - P7,8.05
395,Módulo de Memória Flash W25Q64 64 Mbit,15.17
396,Sensor de pH Arduino + Módulo de Leitura,236.46
397,Válvula Solenoide para Gás e Ar 12V NA,56.91
398,Módulo MP3 Arduino WTV020 com Entrada SD Card,33.89.   25.55
399,Sensor Termostato ABS para proteção 35 graus,3.67
400,"Detector de Gás / Sensor de Gás MQ-6- GLP (Gás de Cozinha), Propano, Isobutano e Gás Natural Liquefeito",19.86
401,Detector de Gás / Sensor de Gás MQ-3 - Álcool / Etanol,25.56
402,Caixa Patola PB-008 para Montagem 25 x 39 x 75 mm,6.89
403,Semáforo Arduino LED 3.3V/5V 8mm - S3,10.36
404,Estrutura em MDF para Rastreador Solar Arduino + Manual de Montagem,25.84
405,Módulo Display 7 Segmentos TM1638 com 8 Leds e 8 Push Buttons,36.71
406,Sensor de Luz Ambiente TEMT6000,13.21
407,Válvula Solenoide para Água 12V 90° NF (1/2 x 1/2),65.55
408,Tabela de Pinos Arduino Uno R3 em Couchê Liso com Alta Resolução,2.00
409,Célula de Carga 100g Sensor de Peso para Arduino TAL221,66.41
410,Expansor para Arduino Nano V3.0 - EAN3.0,21.76
411,Módulo Receptor Rádio FM TEA5767 Philips,19.86
412,Sensor de Inclinação com Chave em Mercúrio,24.05.   18.91
413,Umidificador de Ar Ultrassônico 24V Névoa 400 ml/h,79.71
414,Mini Gerador Brushless de Energia MG10,24.61
415,Roldana V 24mm com Rolamento 625zz para Eixo 5mm,12.26
416,Módulo CAN BUS Arduino TJA1051,15.49
417,Caixa Patola PB-900/2 para Montagem 66 x 200 x 142 mm Preta,65.46
418,Sensor de Refletância Digital Similar QTR-8RC com 8 Sensores Infravermelhos de Linha,28.41
419,Detector de Gás / Sensor de Gás MQ-8 - Hidrogênio,18.53
420,Módulo Relé SLA-05VDC-SL-C 5V 30A 1 Canal com Optoacoplador,36.01
421,Display TFT LCD 1.3 SPI RGB 240x240 ST7789,66.41
422,Hub USB 2.0 4 Portas com Interruptor ON/OFF Individual e Led Indicador,28.12
423,Rolamento com Flange F625zz (5x16x5),9.88
424,Bombinha Submersa de Água 12V CP40A Brushless 8L/Min - OUTLET,54.06
425,Caixa Patola PB-201/2 para Montagem 40 x 72 x 86 mm,18.91
426,Cooler PC 120mm Fan 12V  Storm,29.93
427,Sensor de Corrente AC / DC ACS758 50A Efeito Hall,33.82
428,Caixa Patola PB-211 para Montagem 70 x 139 x 155 mm,56.91
429,Decodificador DTMF MT8870 Para Celular,20.85
430,Buzzer Ativo 12V Bip Contínuo PCI 12mm,3.50
431,Caixa Patola CF-126 para Montagem 62 x 83 x 126 mm,19.29
432,Servo Driver 16 Canais PCA9685,36.48
433,Testador de Servo 3 Canais ou ESC / Servo Tester CCPM,19.86
434,Esfera Deslizante W420 para Carro Robô,11.77
435,Caixa Patola CP-012 PF para Montagem 36 x 76 x 134 mm,19.86
436,Sensor de Pulso Infravermelho KY039 Para Batimentos Cardíacos,7.41
437,Sensor de Vibração SW-420,7.89
438,Sensor de Toque Capacitivo Httm com Led Azul,15.87
439,Tubo de Teflon Ptfe 4mm x 2mm para Filamento 1.75mm - 1 Metro,19.86
440,"Módulo Jack P4 (2,1x5,5mm) com 2 Saídas para Projetos",10.17
441,Caixa Patola PB-202/2 para Montagem 53 x 70 x 98 mm,19.86
442,Mancal com Rolamento Kfl08 para Eixo 8mm,27.84
443,Carrinho Arduino / Carro Robô 2WD 200RPM MDF - Kit Chassi Usinainfo,121.79
444,Sensor de Condutividade para Arduino - P24,5.89
445,Suporte para Sensor Ultrassônico - Retangular em MDF,3.14
446,Estrutura em MDF para Elevador Arduino Altum + Manual de Montagem,54.27
447,Matriz de LED 8X8 Vermelho,14.87
448,Rolamento com Flange F623zz (3x10x4),8.46
449,Robô Edison V2.0 para Robótica Educacional,645.05
450,Caixa Patola PB-030/2 Case para Montagem 23 x 31 x 31 mm,3.79
451,Sensor de Umidade e Temperatura HTU21D,29.93
452,Sensor de Gestos e Cor APDS-9960,38.75.   28.41
453,Controlador de Carga / Placa de Proteção de Carga BMS para Bateria 18650 1S 10A 4.2V,16.86
454,Módulo Driver Controlador de Motor de Passo Unipolar - ULN2003,8.50
455,Módulo Adaptador USB Macho para DIP,10.17
456,Sensor de Nível de Água Horizontal tipo Boia,33.82
457,First Robot / Módulo Robô Led para Interação com o Público - PL2,20.35
458,Válvula Solenoide para Água 12V NF 180° (1/4 x 1/4) Rosca Interna BSP,59.76
459,Suporte para Motor DC130,7.41
460,Fixador Emenda para Correia GT2,14.47
461,Detector de Metais 5V para Projetos DIY,28.41
462,Roldana 24mm com Rolamento 625zz para Eixo 5mm,14.87
463,Chassi Carrinho Arduino MDF com Eixo Móvel V2 + Manual de Montagem,33.45
464,Suporte para Display 16x2 Case em MDF - SD162,7.69
465,Microfone Omnidirecional INMP441 para Projetos,34.96
466,Cartucho Aquecedor 12V 40W para Impressora 3D Reprap,19.86
467,Indicador de Direção do Vento Arduino para Estação Meteorológica - DV10,369.46
468,Ponte Retificadora com Diodo 1N4007 Onda Completa AC para DC,9.88
469,Módulo Ethernet W5500 Arduino,56.91
470,Kit para Arduino Standalone ATmega328P com Bootloader,79.71
471,Robô Sumo Zumo Robot Arduino Completo RS100 V2 + Manual de Montagem,381.26
472,Chassi em MDF para Robô Sumo Zumo Robot RS100 V2 + Manual de Montagem,28.34
473,Grade para Cooler 120mm Metálica,7.93
474,Módulo Adaptador USB Fêmea 3.0 para DIP,6.89
475,Conversor RS485 para Ethernet TCP/IP USR-TCP232-304,369.55
476,Módulo Transmissor de Rádio FM para Arduino - V2.0,56.91
477,Caixa Patola PB-062 para Montagem 27 x 51 x 61 mm,5.61
478,Caixa Patola PB-600/2 para Montagem 38 x 106 x 124 mm,33.42
479,Tabela de Pinos Arduino Mega 2560 em Couchê Liso com Alta Resolução,2.00
480,Sensor de Umidade e Temperatura - DHT12,35.82
481,"Motor de Passo NEMA 17 4,5Kgf.cm 42HBD40BJ4-TF0 + Cabo",159.89
482,Sensor de Gás Ozônio MQ-131 para Baixa Concentração,208.53
483,"Suporte para Leitor Biométrico Arduino\xa0JM101, R305, R307",28.41
484,Makey Makey Kit Piano Sensor Touch com Cabo USB e Jacaré + Jumpers,167.68
485,Módulo ZVS de Aquecimento por Indução com Bobina 5 a 12V - MA712,90.16
486,Isolador Óptico PC817 4 Canais 3.6-24V,23.66
487,Motor DC 12V com Caixa de Redução 30RPM,125.44
488,Grampo para Mesa Aquecida Impressora 3D,8.18
489,Eletrodo ECG para Sensor Muscular e Sensor Cardíaco Arduino - Kit com 3 Unidades,8.45
490,Sensor de Temperatura DS18B20 à Prova DÁgua Rosca G 1/2 com Poço,113.91
491,Conversor de Tensão para Corrente 0-5V PARA 4-20mA - CTC10,29.93
492,Mega Sensor Shield V2.0 para Arduino,28.83
493,TFT LCD 3.5” Shield Arduino Touch Screen com Slot SD,142.31
494,Kit Arduino Iniciante em Sensores V2,101.92
495,Caixa Patola SI-003 para Montagem 15 x 22 x 76 mm,4.89
496,"Shield Multifunções para Arduino K586 com Buzzer, Display, Push Button + Interfaces Extras",35.06
497,Kit de Peças para Robótica DIY Arduino 50 Peças,47.41
498,Sensor de Força Resistivo 0.5″ FSR402,69.73
499,Cabo Extensor USB AB Macho X Fêmea 30cm para Impressora 3D,13.21
500,Elevador com Arduino Altum Completo + Manual de Montagem,290.84
501,Caixa Patola PB-203/2 para Montagem 46 x 87 x 98 mm,24.84
502,Display OLED 0.91 I2C 128x32 Branco para Arduino,34.82
503,Bombinha Submersa de Água para Arduino 5V USB  JT160A 1.5L/Min,70.21
504,Relé de Temperatura com NTC / Sensor de Temperatura com Relé,29.83
505,Mola Plana 20mm para Mesa Aquecida da Impressora 3D,3.90
506,Barra Magnética Peixinho com Anel Central 20mm,10.88
507,Motor DC 12V / 24V RS555PH de Alta Rotação 10.000RPM,157.51
508,Mola Plana 25mm para Mesa Aquecida da Impressora 3D,3.90
509,Mega Protoshield V3 / Prototype para Arduino Mega + Protoboard 170 pontos,33.42
510,Transformador Trafo 12V + 12VAC 2A Bivolt de Uso Geral,65.74
511,Módulo MP3 Decodificador com Recepção Bluetooth e Conexões Micro SD e USB,43.61
512,Relé com Controle Remoto 12V 10A 1 Canal 433MHz + Case,89.40
513,Módulo ESP8285 M3 WiFi Serial - ESP-M3,29.36
514,Isolante Térmico 3mm para Bloco Aquecedor do Hotend Impressora 3D,2.16
515,Leitor de Cartão de Memória Micro SD com USB 2.0,9.41
516,Plug RCA Macho com Bornes,2.38
517,"Relé de Atraso / Relé de Retardo 12V (0,13s a 60min) FC-32A",39.90
518,Sensor de Temperatura PT100A -50 a + 300°C,19.48
519,Kit Arduino Sensores 37 em 1 + Caixa Organizadora,223.73
520,Kit Árvore de Natal Led Piscante DIY para Aprendizagem Eletrônica - AN16,45.98
521,Arduino GPS Shield Elecrow + Antena,337.96
522,Sensor de Pressão Absoluta MD-PS002-150kPa,23.66
523,Etiqueta NFC Tag 13.56Mhz Fundan F08 Adesiva - Kit com 2 Unidades,4.66
524,Módulo Potenciômetro Deslizante 10k para Arduino,22.71
525,Roldana 15mm com Rolamento para Eixo 5mm,15.68
526,Suporte Acrílico para Micro Servo Motor Usinainfo - Compatível com SG90,16.21
527,Módulo Display LED 8 Dígitos com Interface Controle SPI - MAX7219,28.41
528,Porca T Martelo M3 para Perfil V-Slot 20 - Kit com 4 Unidades,8.46
529,Módulo Driver PWM YYNMOS-1 com Isolador Óptico 1 Canal,24.61
530,Kit Eletrônica Educacional com 8 Projetos “Circuitos de Papel” - KES8,61.12
531,Ramps 1.4 RepRap Shield Arduino para Impressora 3D,55.96
532,Módulo Chave Térmica / Sensor De Temperatura Termistor Arduino - K275,9.45
533,Válvula Motorizada Esfera 2 Vias 1/2 12V DC - DN15,275.03
534,Transformador de Corrente TC 5A 5V / Sensor de Corrente AC com Relé,49.78
535,"Polia GT2 Tensora 20T ID5 OD18 W6 / 20 Dentes, Eixo 5mm, Diâmetro 18mm para Correia de 6mm",11.88
536,Case em MDF para Cofre Arduino Valorem + Manual de Montagem,32.90
537,Roda 34mm Slim para Micromotor DC 12V N20 com Caixa de Redução,5.89
538,Conversor PWM para Tensão 0 A 10V,32.21
539,Kit Educacional Livro Eletrônica Fácil - Charles Platt com 50 Peças,171.94
540,Mesa aquecida MK2B PCB 12V / 24V para Impressora 3D RepRap,69.73
541,Castanha M8 com Mola Anti Folga para Fuso 8mm,17.96
542,Caixa Patola CF-070/2 para Montagem de Fonte de Alimentação 47 x 56 x 79 mm,11.48
543,Módulo iBeacon NRF51822 RSSI BLE 4.0 + Case,78.76
544,Sensor AM2320 de Umidade e Temperatura I2C,28.41
545,Sensor de Umidade e Temperatura SHTC3 DHT22 -40 a 125°C,42.66
546,Motor com Fios Soldados e Caixa de Redução 48:1 200RPM + Roda,33.52
547,Nozzle Bico Extrusora Impressora 3D 0.3mm,5.61
548,Correia GT2 6mm Fechada 200mm para Impressora 3D e CNC,10.88
549,Micro Servo Emax Es08ma II 180° 2.0Kgf.cm de Posição com Engrenagens Metálicas,53.11
550,Controlador de Umidade do Solo com Relé 20 a 99% RH XH-M214,56.91
551,Mini Bomba de Água Submersa 12V AD20P Brushless 4L/Min,62.61
552,Módulo Gerador De Funções Ad9850 Dds 0-30mhz,189.53
553,Kit Projeto Relógio Eletrônico Digital DIY STC11F02,51.78
554,Shield Data Logger com RTC DS1307 para Wemos D1 Mini,25.56
555,Caixa Patola PB-048 para Montagem 19 x 40 x 54 mm Furada,4.89
556,Módulo LoRa 915Mhz SX1276 RF Wireless + Antena,85.41
557,Sensor AM2301 DHT21 de Umidade e Temperatura,47.41
558,Estrutura em MDF para Casa Automatizada Domum com ESP32 ou Arduino,85.06
559,Caixa Patola PB-073 para Montagem 40 x 53 x 73 mm,7.49
560,Módulo Relé Para Controle Remoto 433MHz 10A 1 Canal - Compatível com Controle EV1527,56.91
561,Grilo Solar com Motor Vibracall e Painel Fotovoltaico - Kit Educacional,22.33
562,Módulo Potência Mosfet HA210N06 210A / Controle para Mesa Aquecida Impressora 3D Ramps 1.4 e Anet A8,45.79
563,Shield Stepper Motor Arduino SM3D para Driver A4988 e DRV8825 para Impressora 3D,19.86
564,Sensor de Vibração SW-18015,3.90
565,Sensor De Temperatura PT100 com Sonda à Prova D’Água,28.41
566,Módulo Encoder 360° Redondo 5V CE11,16.91
567,"Primeiros Passos com Sensores: Perceba o mundo usando eletrônica, Arduino e Raspberry Pi",46.08
568,Robô Explorador Hector Lagarta 2WD com Chassi em Alumínio,408.98.   221.26
569,Controladora de CNC Interface Mach 3 Router Até 5 Eixos + Cabo Usb - 74HC,79.90
570,Válvula Motorizada Esfera 2 Vias 3/4 12V DC - DN20,332.03
571,Kit Prototipagem Intermediário com Protoboard 830 Pontos + Jumpers + Fonte e Adaptador - 68 Peças,55.48
572,Sensor Magnético NF de Embutir com Fios,15.56
573,Caixa Patola PB-205 para Montagem 40 x 140 x 149 mm,56.91
574,Clapper Misofônico - Módulo Eletrônico Relé para Controle Remoto com Infravermelho e Sensor de Som,124.64
575,Controle 433Mhz Transmissor RF 2 Canais Premium EV1527,32.82
576,Sensor Ultrassônico GY-US42 de Distância 20 a 720cm,104.03
577,MH-ET Live Scanner V3.0 / Leitor de Código de Barras e QR Code,275.03
578,Sensor de Chama Infravermelho 3mm - P22,6.56
579,Sensor de Vibração e Toque Piezoelétrico 20mm Analógico Digital,23.66
580,"Motor de Passo NEMA 17 4,6Kgf.cm 17HS8401 + Cabo",166.16
581,Suporte Eixo Linear Sk8 para Eixo 8mm,18.46
582,Cartucho Aquecedor 24V 40W para Impressora 3d Reprap,16.86
583,Sensor de Toque Capacitivo Httm com Led Vermelho,15.87
584,"Gerador de Sinal PWM XY-PWM1 com Display LCD, Duty Cycle e Frequência Ajustável - 1Hz-150Khz",82.56
585,Expansor Conversor AD / DA PCF8591 com Sensor de Luz e Temperatura + Jumpers,17.86
586,Válvula Solenoide para Água 12V 90° NF (3/4 x 3/4),62.75
587,AVR ISP Shield FZ2665 / Gravador AVR Bootloader Para Arduino,76.71
588,"Polia GT2 Tensora 20T ID5 OD16 W6 / 20 Dentes, Eixo 5mm, Diâmetro 16mm para Correia de 6mm",11.88
589,Controlador PWM 1203BB 3A para Motor DC 0 a 100% com Reverso,32.82
590,Módulo Relé 3V 10A 2 Canais com Optoacopladores  para ESP32,48.38
591,Módulo Gerador de Pulso Frequência NE555 para Arduino - 5Hz a 2kHz,7.89
592,Nozzle Bico Extrusora Impressora 3D 0.2mm,6.18
593,Servo Motor SG5010 Tower Pro 180° 11Kgf.cm de Posição com Alto Torque,47.41
594,Micro Registro 1/4 para Irrigação por Gotejamento,13.21
595,Antena 433MHz 5dbi + Cabo Pigtail UFL Mini com SMA Fêmea,39.81
596,Módulo Receptor Rádio FM com antena - Philips TEA5767,66.41
597,Círculo de Led Endereçável RGB WS2812 com 16 Leds,44.56
598,Barra Roscada Fuso M8 x 300mm para Impressora 3D + Castanha,66.41
599,Thermowell Poço para Sensor de Temperatura 30mm Rosca 1/2 + Prensa Cabo PG7,47.41
600,Estrutura em MDF para Árvore de Natal Arbor,7.92
601,Kit de Parafusos 90 Peças para Braço Robótico em MDF,20.15
602,Caixa Patola PB-030 para Montagem 29 x 31 x 31 mm,4.66
603,Receptor 433Mhz RXB6 Super Heteródino,26.09
604,I/O Expansion V5.0 - Shield Arduino Expansor de Entradas e Saídas V5.0,49.78
605,"Sensor de Qualidade do Ar ZP07-MP503 - Hidrogênio, Álcool, Monóxido de Carbono, Amônia, Fumaça de Cigarro e Etc",49.78
606,"Polia GT2 Tensora Lisa ID5 OD18 W10 / Sem Dentes, Eixo 5mm, Diâmetro 18mm para Correia de 10mm",12.47
607,Suporte Elevado para Sensor Ultrassônico em MDF,3.17
608,Módulo Bluetooth BT04-E BLE 4.2 + 3.0 SPP Arduino Compatível com iOS e Android,23.66
609,Detector de Gás / Sensor de Gás MQ-136 - Gás Sulfídrico H2S,339.63
610,Laser Vermelho de Alta Potência 250mW com Foco Ajustável,85.41
611,Engate Rápido Mangueira com Saída 3/8,16.86
612,Suporte para Display 20x4 Case em MDF - SD204,8.25
613,Cofre Arduino Digital Valorem Completo + Manual de Montagem,270.98
614,Barra Magnética Peixinho com Anel Central 30mm,15.68
615,Módulo LED RGB 5V (Vermelho/Verde/Azul) - P20,8.69
616,Placa de Proteção de Carga BMS 1S 3A 4.2V para Bateria 18650,5.61
617,Medidor de TDS Sensor de Condutividade da Água Analógico,94.27
618,Módulo Relé 3V 10A 4 Canais com Optoacopladores para ESP32,73.32
619,Controlador De Nível De Água Eletrônico XH-M203 com Relé,49.97
620,Motor para Drone Hubsan X4 de Alta Rotação H107-A03 - Kit com 4 unidades,136.55.   75.91
621,Joystick Arcade 8 Posições - Bola Vermelha,53.77
622,Mini Impressora Térmica para Arduino e Raspberry Pi + Rolo Papel Térmico 57mm + Cabos,436.62
623,Módulo Sensor Magnético de Efeito Hall 3144 Arduino,24.37.   9.98
624,Dimmer 100W / Regulador De Tensão Elétrica 220VAC DIY,18.91
625,"Kit Agulha de Limpeza para Bico de Impressora 3D RepRap 0,2 a 0,40mm 10 Unidades",32.55
626,"Polia GT2 Tensora 16T ID3 OD13 W6 / 16 Dentes, Eixo 3mm, Diâmetro 13mm para Correia de 6mm",11.88
627,Kit de Engrenagens para Robótica Diy 120 Peças,59.76
628,Máquina para Relógio de Parede Quartzo DIY Universal,10.93
629,Caixa Patola / Case para Montagem 41 x 49 x 65 mm - CF-066/2,9.88
630,Mini Amplificador de Som OEP30WX2 Estéreo 2 Canais 30W + 30W,23.85
631,"Extrusora Hotend V6 LD 0.4 1.75mm Longa Distância com Aquecedor, Termistor, Bico e Cooler + Tubo ptfe",98.66
632,Ai Thinker A9G GPRS GSM GPS Pudding - Placa de Desenvolvimento IoT,159.51
633,Kit Arduino Sensores 37 em 1,189.53
634,Caixa Patola PB-220/70 para Montagem 71 x 228 x 190 mm,125.59
635,Controle para PC USB tipo Nintendo Compatível com Raspberry Pi - KP3124,44.18
636,Placa de Desenvolvimento STM32F411 com USB tipo C,99.66
637,Rig de Mineração para 4 GPUs e 6 Fans MDF 6mm RM4G6F V3 Preto + Manual de Montagem,183.08
638,Dado Eletrônico para Programação - PL3,21.52
639,Válvula Solenoide para Água 12V NA 180° ( 1/2 x 1/2),75.91
640,Bico Gotejador Regulável Estaca com Bico Nebulizador 1/4,13.49
641,Kit Gerador de Alta Tensão HV-1 DIY Entrada 3 a 5V DC e Saída 15000V,34.96
642,Amplificador Max31865 RTD para Pt1000,89.78
643,Estrutura em MDF para Mini Casa Sustentável DIY,31.73
644,Kit Prototipagem Básico com Protoboard 400 Pontos + Jumpers - 41 Peças,43.99
645,"Livro Arduino - Movimento, Luz e Som com Arduino e Raspberry Pi",78.40
646,Kit Luz Estroboscópica NE555 + CD4017 DIY,31.23
647,Livro Manual de Projetos do Arduino: 25 Projetos Práticos para Começar com Arduino,83.79
648,Módulo Sensor de Umidade HR202L Higrômetro HR31 com Encapsulamento,13.47
649,Correia GT2 6mm Fechada 852mm para Impressora 3D e CNC,30.88
650,ULN2003 Driver para Motor de Passo,9.88
651,Célula de Carga Arduino 100kg Sensor de Peso Mavin NA2,265.53
652,Colar de Bloqueio Fuso T8 Impressora 3D,7.41
653,Módulo Teclado com 5 Botões AD-Keyboard,22.33
654,Transformador de Corrente TC 5A 12V / Sensor de Corrente AC com Relé,37.91
655,Controlador Gráfico para Painel de Impressora 3D RepRap com LCD 128x64 e Slot SD,178.55
656,Nozzle Bico Extrusora Impressora 3D 0.5mm,6.92
657,"Polia GT2 Tensora Lisa ID3 OD13 W6 / Sem Dentes, Eixo 3mm, Diâmetro 13mm para Correia de 6mm",11.88
658,Tubo de Teflon Ptfe 4mm x 3mm para Filamento 2.85mm - 1 Metro,18.91
659,TFT LCD 3.95” Shield Arduino Touch Screen com Slot SD,113.05
660,Sensor de Proximidade TMD27713 (LED IR + ALS),36.81
661,Módulo Relé 2 Canais Micro USB com Conversor CH340,89.68
662,Case em MDF para Useless Box Caixa Inútil BS100 + Manual de Montagem,40.28
663,Case em MDF para Jogo do Labirinto Ludio + Manual de Montagem,39.10
664,Kit TFT LCD 3.2” Touch com Mega Shield Arduino + Kit de Jumpers,242.25
665,Display OLED 0.91 I2C 128x32 Azul para Arduino,33.82
666,Válvula Solenoide para Água 12V NA 180° ( 3/4 x 3/4),66.74
667,"Livro Eletrônica Fácil - Aprenda de Modo Rápido, Simples e Divertido",36.96
668,Isolamento Térmico para Impressora 3D Auto-Adesivo 20x20cm,28.25.   19.86
669,Controlador PWM 15A 1000W  para Velocidade de Motores 6V à 90V,53.11
670,Suporte para Motor K30 - Kit com 2 Unidades,5.89
671,Kit Joystick Arduino em Acrílico com Comando Analógico Duplo + Parafusos de Fixação,45.59
672,Furador para Mangueira de Irrigação por Gotejamento Duplo 3 e 4mm,14.87
673,Kit Piano Elétrico DIY NE555 com 8 Teclas e Alto-Falante,24.84
674,Sensor de Nível de Água Vertical 200mm em Aço Inoxidável para Água Quente,66.41
675,Arduino Mega 2560 R3 com CH340G,198.55
676,Kit Coração de Led Pulsante DIY 4V a 6V para Aprendizagem Eletrônica HBL22 - Vermelho,19.86
677,Kit Projeto Relógio Eletrônico Digital STC12C2052 com Alarme DIY,59.76
678,"Polia GT2 Tensora 20T ID3 OD16 W6 / 20 Dentes, Eixo 3mm, Diâmetro 16mm para Correia de 6mm",11.88
679,Suporte para Motor de Passo Nema 17 42x42mm em MDF - SN42,4.20
680,Conversor RS485 para Sensor PT100 Modbus RTU,59.76
681,Controle Wii Nunchuck para Arduino,61.85.   19.86
682,Barra Roscada Fuso M8 x 200mm para Impressora 3D + Castanha,72.35.   43.61
683,Suporte Eixo Linear Shf8 para Eixo 8mm,23.75
684,Kit Coração de Led Pulsante DIY 4V a 6V para Aprendizagem Eletrônica HBL22 - Azul,19.86
685,Motor Shield L298 Driver Ponte H com Interface para Servo Motor e Bluetooth,104.03
686,"Polia GT2 Tensora 20T ID3 OD18 W6 / 20 Dentes, Eixo 3mm, Diâmetro 18mm para Correia de 6mm",11.88
687,Display LCD 128x64 JLX12864G-086 SPI,66.41
688,Conversor Analógico Digital ADS1115 16 Bits 4 Canais ADC,73.91
689,"Shield Arduino Multifunções K596 com DHT11, LM35, Receptor IR, LDR, LEDs, Buzzer e Outros",64.74
690,Barra Roscada Fuso M8 x 100mm para Impressora 3D + Castanha,49.98.   30.31
691,Mini Bobina de Tesla Musical 15V DIY,59.76
692,Livro Arduino - Guia do Maker para o Apocalipse Zumbi,59.76
693,Nano I/O Shield / Expansor para Arduino Nano com Slot para Xbee e NRF24L01 - RBT1.0,36.81
694,Livro Aprenda Eletrônica com Arduino,87.88
695,Sensor de Fluxo de Água com Interruptor Magnético EFS-04P G1/2,42.66
696,Sensor Flex 4.5” Premium para Projetos,379.05
697,Motor DC 6V JGA25 com Caixa de Redução 211RPM,121.70.   50.26
698,Correia GT2 6mm Fechada 110mm para Impressora 3D e CNC,10.22
699,Espátula para Impressora 3D Super Fina em Aço,14.23
700,Transmissor de Temperatura Pt100 Conversor -50~200°C Saída 0 a 10V,79.75
701,Sensor Shield V4.0 para Arduino,29.83
702,Sensor de Chuva Arduino CJMCU-606,61.06.   22.86
703,"Polia GT2 Tensora Lisa ID3 OD16 W6 / Sem Dentes, Eixo 3mm, Diâmetro 16mm para Correia de 6mm",13.20
704,Módulo Relé 3V 10A 8 Canais com Optoacopladores para ESP32,123.22
705,Toca Discos Vinil DIY Orbis em MDF Completo + Manual de Montagem,266.77
706,Sensor de CO2 MH-Z19B Infravermelho 5000ppm + Cabo,359.58
707,Controlador PWM 20A 1200W para Velocidade de Motores 10V à 60V,39.81
708,Estrutura MDF para Carro Robô 2WD,17.16
709,Detector de Gás / Sensor de Gás MQ-137 - Amônia,377.56
710,Conversor Serial UART TTL para Ethernet TCP/IP HS2003,113.53
711,Antena 433MHz 3dbi + Cabo Pigtail UFL Mini com SMA Fêmea,28.41
712,"Sensor de Qualidade do Ar MICS-6814 / Sensor de Gás Monóxido de Carbono, Dióxido de Nitrogênio, Amônia, Metano e...",265.53
713,Módulo de Memória EEPROM Mini - AT24C02,11.31
714,Cortador de Mangueira e Tubo Pu ou Pa - CM14,29.34
715,Useless Box Arduino / Caixa Inútil Completa BS100 + Manual de Montagem,306.26
716,Suporte Eixo Linear Sk12 para Eixo 12mm,15.68
717,Estrutura MDF para Alimentador Automático Pets Canem + Manual de Montagem,81.10
718,Sensor de Fluxo de Água YF-B7 G 1/2 1-25 l/min Metálico com Sensor de Temperatura,85.41
719,Sensor de Vibração e Toque Piezoelétrico 27mm Analógico,14.16
720,Câmera Térmica Arduino AMG8833 8x8,389.03
721,"Módulo Programador Attiny85, Attiny13A, Attiny25 e Attiny45 com Micro USB",9.88
722,Botão Power 16mm com Fios para Rig de Mineração em Alumínio com LED Azul,40.34
723,Conversor Serial TTL para RS485 MAX1348 TTL485 V2.0,22.71
724,Conversor RS485 para 0-20mA 4-20mA Modbus RTU,59.76
725,Controlador Gráfico para Painel de Impressora 3D RepRap com LCD 20x4 e Slot SD,125.59
726,Shield Data Logger para Arduino Nano com RTC DS1307 para Registro de Dados,77.71
727,Openlog Datalogger Arduino Registrador de Dados Serial ATmega328P com Slot Micro SD,65.46
728,"Polia GT2 Tensora Lisa ID3 OD18 W6 / Sem Dentes, Eixo 3mm, Diâmetro 18mm para Correia de 6mm",11.88
729,Relé com Controle Remoto Infravermelho 5V 10A 1 Canal - IR05V,46.79
730,Sensor de Distância a Laser TOF10120 de Alta Precisão + Cabo - 10 a 180cm,109.16
731,Case em MDF para Termômetro Infravermelho Arduino TI100,16.72
732,Jogo do Labirinto com Arduino DIY Ludio Completo + Manual de Montagem,284.60
733,Mini Motor DC N40 3.7V para Projetos,10.48
734,Isolador Óptico SV-5A1R1P-N 1 Canal 5V,28.83
735,Kit Robótica Educacional 13 Robôs em 1 com Painel Solar,198.55
736,Caixa Patola PB-073/2 para Montagem 40 x 53 x 73 mm,7.58
737,Kit Joystick Arduino em MDF com Comando Analógico Duplo + Parafusos de Fixação,36.42
738,"Extrusora Hotend V6 LD 0.4 3.0mm Longa Distância com Aquecedor, Termistor, Bico e Cooler + Tubo ptfe",94.40.   59.76
739,Rolamento de Esfera 6001 ZZ Blindado (12x28x8),10.36
740,Kit de Nivelamento para Mesa Aquecida da Impressora 3D - CR10,16.86
741,Kit Arduino Básico Uno R3 + Estojo MDF - KB05,147.48
742,Controlador de Carga XY-CD60L para Bateria de Lítio e Chumbo 6V-60V,75.91
743,Alimentador Automático para Pets com Arduino DIY Canem Completo + Manual de Montagem,342.73
744,Gerador de Funções XR2206 DIY 1Hz a 1Mhz,52.16
745,Buzzer Ativo 24V Bip Contínuo PCI 12mm,3.70
746,Sensor de Corrente AC / DC 150A Efeito Hall ACS758,35.53
747,Chassi Arduino Tanque tipo Lagarta 2WD MDF com Esteiras - CT200,73.53
748,"Rolamento com Flange F684zz (4x9,5x4)",8.88
